"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-06-21 16:15:11 +02:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Tota pending start-year","of which UNHCR-assisted","Applied during year",statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,"Otherwise closed","Total decisions","Total pending end-year","of which UNHCR-assisted"
2016,"United Kingdom",Aruba,"G / RA",,,,,,,,,,0
2016,"United Kingdom",Aruba,"G / AR",,,0,0,,0,0,,,0
2016,"United Kingdom",Aruba,"G / FI",0,0,0,0,0,0,0,,0,0
2016,Angola,Afghanistan,"G / FI",*,,,,,,,,*,
2016,Albania,Afghanistan,"G / FI",0,0,64,,,,64,64,0,0
2016,"United Arab Emirates",Afghanistan,"U / NA",,,18,,,,,,18,18
2016,Argentina,Afghanistan,"G / FI",*,,*,,,,,,*,*
2016,Armenia,Afghanistan,"G / FI",*,*,,,,*,,*,0,0
2016,Armenia,Afghanistan,"G / JR",,,*,,,,,,*,*
2016,Australia,Afghanistan,"G / FI",899,0,2563,1415,0,76,0,1491,2042,0
2016,Australia,Afghanistan,"G / AR",66,0,33,42,0,20,*,64,35,0
2016,Austria,Afghanistan,"G / FA",24267,,11522,1756,1693,182,2489,6120,29783,
2016,Azerbaijan,Afghanistan,"U / FI",123,123,85,60,,9,33,102,106,106
2016,Azerbaijan,Afghanistan,"G / AR",,,12,12,,,,12,0,
2016,Azerbaijan,Afghanistan,"G / FI",,,,*,,95,12,111,,
2016,Belgium,Afghanistan,"G / FI",1569,0,2227,656,830,583,88,2157,6338,0
2016,Belgium,Afghanistan,"G / RA",,,540,,,,381,381,,
2016,Belgium,Afghanistan,"G / JR",74,0,388,*,*,346,10,361,119,0
2016,Bulgaria,Afghanistan,"G / FI",3241,3241,8613,*,9,430,,441,7453,7453
2016,Bulgaria,Afghanistan,"G / RA",,,183,,,,,,183,183
2016,"Bosnia and Herzegovina",Afghanistan,"G / FI",,,*,,,,,,*,*
2016,Belarus,Afghanistan,"G / FI",*,0,21,0,*,9,9,19,6,5
2016,Belarus,Afghanistan,"G / JR",*,0,*,,,*,,*,*,*
2016,Brazil,Afghanistan,"G / FI",43,43,13,17,5,0,,22,34,16
2016,Canada,Afghanistan,"G / FI",286,,624,469,,84,22,575,456,
2016,Switzerland,Afghanistan,"G / FI",,,46,,,,,,,
2016,China,Afghanistan,"U / FI",*,*,20,,,,*,*,20,20
2016,Colombia,Afghanistan,"G / FI",5,5,0,5,,,,5,0,0
2016,"Costa Rica",Afghanistan,"G / FI",0,0,*,0,,0,*,*,0,0
