Mass. Lottery KENO Sales by ZIP - 2013,Sales
01001 + AGAWAM,"$           4,442,010"
01001 + W SPRINGFIELD,$                      110
01002 + AMHERST,"$              277,390"
01004 + AMHERST,"$              520,505"
01005 + BARRE,"$              210,246"
01007 + BELCHERTOWN,"$              939,066"
01008 + BLANDFORD,"$                 10,780"
01009 + BONDSVILLE,"$                   8,158"
01010 + BRIMFIELD,"$                 18,929"
01013 + CHICOPEE,"$           4,900,972"
01020 + CHICOPEE,"$           8,652,852"
01021 + CHICOPEE,$                            -
01027 + EASTHAMPTON,"$           1,857,901"
01028 + E LONGMEADOW,"$           2,143,626"
01029 + E OTIS,"$              146,890"
01029 + OTIS,"$                   1,027"
01030 + AGAWAM,"$                 18,072"
01030 + FEEDING HILLS,"$           1,829,603"
01031 + GILBERTVILLE,"$              369,207"
01032 + GOSHEN,"$                   4,741"
01033 + GRANBY,"$              678,505"
01034 + GRANVILLE,$                            -
01035 + HADLEY,"$              807,062"
01036 + HAMPDEN,"$           1,142,428"
01038 + HATFIELD,"$              443,531"
01040 + HOLYOKE,"$           3,766,406"
01041 + HOLYOKE,"$                 60,183"
01050 + HUNTINGTON,$                            -
01053 + LEEDS,"$              166,390"
01056 + LUDLOW,"$           5,015,697"
01057 + MONSON,"$              518,439"
01059 + N AMHERST,$                            -
01060 + NORTHAMPTON,"$              901,336"
01062 + FLORENCE,"$              765,733"
01066 + N HATFIELD,"$              304,144"
01069 + PALMER,"$              968,114"
01070 + PLAINFIELD,"$                 54,128"
01071 + RUSSELL,"$              255,210"
01073 + SOUTHAMPTON,"$              730,285"
01074 + BARRE,"$                   5,452"
01074 + S BARRE,"$                 56,688"
01075 + S HADLEY,"$           1,777,478"
01077 + SOUTHWICK,"$           1,293,349"
01079 + THORNDIKE,"$              445,714"
01080 + THREE RIVERS,"$              514,391"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
01082 + WARE,"$              525,321"
01083 + WARREN,"$              334,412"
01085 + WESTFIELD,"$           4,461,920"
01089 + W SPRINGFIELD,"$           2,869,748"
01092 + W WARREN,"$                 27,859"
01092 + WARREN,$                            -
01093 + WHATELY,"$                 27,662"
01095 + WILBRAHAM,"$           1,164,108"
01096 + WILLIAMSBURG,"$                 97,889"
01098 + WORTHINGTON,$                            -
01103 + SPRINGFIELD,"$           2,257,617"
01104 + SPRINGFIELD,"$           3,815,599"
01105 + SPRINGFIELD,"$              276,048"
01106 + LONGMEADOW,"$              106,992"
01107 + SPRINGFIELD,"$                 19,644"
