,NAME OF REQUESTOR,ORGANIZATION,SUBJECT OF REQUEST,DATE RECEIVED,Status
0,Peter and Adrienne emails and FOAAs from 1/1/13,Natural Resources,to 6/18/13,6/18/2013,"Closed, never heard back"
1,"Leonard, Gus",Natural Resources,to 6/18/13,6/18/2013,from requestor
2,"Marks, Nancy",Natural Resources,Emails to and from Preti lobbyists relating to,7/11/2013,"Completed, 4/8/2014"
3,"Marks, Nancy",Defense Council,waterways,7/11/2013,"Completed, 4/8/2014"
4,"Tapley, Lance",Portland Phoenix,Governor's expense account,7/23/2013,"Completed, 11/14/2013"
5,"Tapley, Lance",Portland Phoenix,Railroads and Lac-Megantic tragedy,8/1/2013,"Completed, 2/21/2014"
6,"Madore, Joe",Associated Press,Personnel Issue,8/13/2013,"Closed, never heard back"
7,"Madore, Joe",Associated Press,Personnel Issue,8/13/2013,from requestor
8,"Day, Jonathan",Associated Press,Popham Beach permit,8/19/2013,"Completed, 10/16/2013"
9,"Durkin, Alana",Associated Press,Governor's Correspondence,9/30/2013,"Winter 2013, Completed"
10,"Webbert, David, Esq",WMTW,Carolyn Rae (Webbert's Client),10/1/2013,"Completed,  12/2/2013"
11,"Merrill, Paul",WMTW,Staff emails during state of civil emergency,10/11/2013,"Completed, 12/17/2013"
12,"Donoghue, Eliza",Portland Press Herald,Harvesting on Public Lands,10/21/2013,"Completed, 6/13/2014"
13,"Pearson, Brian",Portland Press Herald,Employee phone numbers etc,10/25/2013,"Completed, 11/6/2013"
14,"Turkel, Tux",Portland Press Herald,Correspondence and documents regarding Nat  Gas,11/4/2013,"Withdrawn, 3/17/2014"
15,"Turkel, Tux",Portland Press Herald,and Canadian Hydro,11/4/2013,"Withdrawn, 3/17/2014"
16,"Durkin, Alana",Associated Press,"Documents, and correspondence FROM Governor's",11/15/2013,"Completed, 5/1/2014"
17,"Durkin, Alana",Associated Press,Office regarding Civil Emergency,11/15/2013,"Completed, 5/1/2014"
18,"Woodward, Colin",Portland Press Herald,Correspondence regarding FreeME Initiative,11/18/2013,"Completed, 3/3/2014"
